metric,model_alias,model_name,pair_type,interface,random_seed,n_pairs,mean_adjusted_gain,adjusted_gain_sd,positive_pair_rate,standardized_detectability
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_normal_taboo_expected,101,512,1.55288668970267,0.6144136188989456,1.0,2.527428823087461
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_taboo_expected_normal,13,512,1.2407036821047466,0.2254750521416677,1.0,5.502620668317675
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_taboo_expected_normal,29,512,1.1599528392155964,0.2320432901782911,1.0,4.998863954757509
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_taboo_expected_normal,47,512,1.2918616632620494,0.2393350124928858,1.0,5.397712811870557
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_taboo_expected_normal,71,512,1.0871675610542295,0.2087861597604245,1.0,5.207086342800307
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_permutation_taboo_expected_normal,101,512,1.1076664328575134,0.2198118047174206,1.0,5.039158084714674
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_reversed,13,512,0.6956338137388229,0.3735178664899373,0.994140625,1.862384309152086
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_reversed,29,512,0.5805079440275828,0.4103233622054795,0.98828125,1.4147572317290555
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_reversed,47,512,0.738979826370875,0.3833561019550485,0.998046875,1.927658964086415
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_reversed,71,512,0.5895865559577942,0.3450509591451795,0.9921875,1.7086941517810037
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,letter_reversed,101,512,0.5450090318918228,0.38733532583765,0.978515625,1.4070728785534554
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_canonical,13,512,2.315557320912679,0.5245165767629031,1.0,4.414650410485271
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_canonical,29,512,2.2072531109054885,0.5414212989344039,1.0,4.076775544755414
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_canonical,47,512,2.339599311351776,0.6075928859848072,1.0,3.8506035296309866
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_canonical,71,512,2.16863821943601,0.5766642208020214,1.0,3.7606602615641385
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_canonical,101,512,2.1459595213333764,0.5492720147405965,1.0,3.906915815375819
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_expected_taboo_normal,13,512,1.9733726779619851,0.4157156201678623,1.0,4.746929348397241
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_expected_taboo_normal,29,512,1.850071410338084,0.4214058584932914,1.0,4.390236568976262
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_expected_taboo_normal,47,512,1.962885518868764,0.4164495468876472,1.0,4.713381329235365
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_expected_taboo_normal,71,512,1.8147958715756731,0.3986478498519809,1.0,4.552378426848438
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_expected_taboo_normal,101,512,1.8009369174639385,0.4022678067853845,1.0,4.476960092470844
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_expected_taboo,13,512,1.8096512804428737,0.3767656742421901,1.0,4.803121420449798
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_expected_taboo,29,512,1.65279670804739,0.375938253863552,1.0,4.396457905151833
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_expected_taboo,47,512,1.7451209674278896,0.3749761199308757,1.0,4.653952277679951
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_expected_taboo,71,512,1.6210674345493317,0.3736008642826419,1.0,4.339035557805719
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_expected_taboo,101,512,1.607238916059335,0.3526040303412492,1.0,4.558197801947565
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_taboo_expected,13,512,1.9702630440394084,0.4384615488738234,1.0,4.493582274431989
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_taboo_expected,29,512,1.8598519961039224,0.4475956992416436,1.0,4.155205242711333
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_taboo_expected,47,512,1.9584576686223347,0.4383060840370034,1.0,4.468242034388449
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_taboo_expected,71,512,1.7943832874298096,0.4235702124996863,1.0,4.236330210380737
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_normal_taboo_expected,101,512,1.8020488421122236,0.4269598568865603,1.0,4.220651691362668
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_taboo_expected_normal,13,512,2.2288868005077043,0.5028886548244188,1.0,4.432167596395487
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_taboo_expected_normal,29,512,2.114470479389032,0.5164065671564398,1.0,4.094584797850713
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_taboo_expected_normal,47,512,2.2622374445199966,0.5692536223704221,1.0,3.974041368590403
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_taboo_expected_normal,71,512,2.11744657655557,0.5316634557930606,1.0,3.982682190178111
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_permutation_taboo_expected_normal,101,512,2.0690569803118706,0.5072852465986902,1.0,4.078685501273186
original_slot_margin,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,letter_reversed,13,512,1.9539263645807905,0.3144110722778955,1.0,6.214559654100832
